Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,62.673000,62.944500,62.054001,62.274502,62.203716,27056000
2019-10-21,62.612999,62.731449,62.029999,62.307499,62.236675,20544000
2019-10-22,62.392502,62.529999,62.069000,62.139999,62.069366,20476000
2019-10-23,62.118000,62.994499,62.118000,62.956501,62.884941,18230000
2019-10-24,63.044998,63.200001,62.685749,63.049500,62.977833,20562000
2019-10-25,62.551498,63.480000,62.500500,63.256500,63.184601,24262000
2019-10-28,63.772499,64.965500,63.626999,64.500000,64.426689,52264000
2019-10-29,63.811501,64.079498,62.860600,63.131001,63.059242,37728000
2019-10-30,62.648499,63.467999,62.599998,63.064499,62.992817,28178000
2019-10-31,63.063999,63.383499,62.542149,63.005501,62.933884,29114000
2019-11-01,63.250000,63.730999,63.025002,63.687000,63.614609,33402000
2019-11-04,63.822498,64.706497,63.817749,64.568497,64.495102,30020000
2019-11-05,64.644501,64.946503,64.561447,64.601501,64.528069,25654000
2019-11-06,64.473000,64.686501,64.125000,64.589996,64.516579,23060000
2019-11-07,64.713997,66.186996,64.712250,65.443001,65.368614,40600000
2019-11-08,65.264000,65.900002,65.218246,65.568497,65.493965,25028000
2019-11-11,65.158997,65.321251,64.870499,64.959503,64.885666,20238000
2019-11-12,65.000000,65.500000,64.788498,64.940002,64.866188,21718000
2019-11-13,64.703499,65.214996,64.675499,64.900002,64.826233,16534000
2019-11-14,64.875000,65.849998,64.782501,65.572998,65.498466,23870000
2019-11-15,65.946999,66.744003,65.713997,66.743500,66.667633,35652000
